EVENT CATEGORY,EVENT GROUP,EVENT SUBGROUP,EVENT TYPE,PLACE,EVENT START DATE,FATALITIES,INJURED / INFECTED,EVACUATED,ESTIMATED TOTAL COST,NORMALIZED TOTAL COST,EVENT END DATE,FEDERAL DFAA PAYMENTS,PROVINCIAL DFAA PAYMENTS,PROVINCIAL DEPARTMENT PAYMENTS,MUNICIPAL COSTS,OGD COSTS,INSURANCE PAYMENTS,NGO PAYMENTS,UTILITY - PEOPLE AFFECTED,MAGNITUDE
Disaster,Natural,Biological,Epidemic,Glengarry Hospital ... Victoria BC,4/6/2010 0:00,10,21,0,0,0,4/6/2010 0:00,,,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Wildfire,Chapleau ON,5/27/2010 0:00,0,0,0,0,0,5/27/2010 0:00,,,,,,,,2000,0
Disaster,Natural,Meteorological - Hydrological,Flood,Saint John River Basin NB,6/17/1922 0:00,0,0,0,,,6/25/1922 0:00,,,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Flood,Saguenay River Valley QC,7/19/1996 0:00,10,0,15825,300000000,20247469.1,7/19/1996 0:00,300000000,,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Flood,Montreal and Mauricie Region QC,11/8/1996 0:00,0,0,1000,93089380,6282747.8,11/9/1996 0:00,3435141,10709159,,,,78945080,,0,0
Disaster,Natural,Meteorological - Hydrological,Flood,Gasp̩ and Bonaventure QC,12/5/2010 0:00,0,0,125,26217000,1350231.8,12/15/2010 0:00,26217000,,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Tornado,Portage la Prairie MB,6/22/1922 0:00,5,0,0,,,6/22/1922 0:00,,,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Wildfire,Cross Lake ... Seymourville MB,4/29/1999 0:00,0,0,1050,,,5/12/1999 0:00,,0,0,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Flood,Southern Alberta,6/6/2005 0:00,2,,7028,129049397,7236414.8,6/8/2005 0:00,129049397,,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Storms and Severe Thunderstorms,Northern Saskatchewan,7/23/2005 0:00,0,0,0,2597891,145676.1,7/25/2005 0:00,497891,2100000,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Wildfire,Haileybury ON,9/30/1922 0:00,43,0,11000,,,10/5/1922 0:00,,,,,,,,0,0
